Filename,и,Segment,Личноеместоимение,вербальные,Предлог,Союз,Когнитив,Включение,AllPunc,мест.-сущ.,добавление,Truth,Sex,Avg_sent,TTR,Avg_word,Hapax,Yules
53П.docx,2.6,1,8.85,18.23,11.98,6.77,12.5,9.38,23.96,6.77,2.62,0,жен.,13.0714285714,0.6229508197,4.5355191257,0.8421052632,630.1939058172
54Л.docx,6.9,1,15.23,16.38,12.93,11.21,22.13,13.22,18.1,10.06,6.92,1,жен.,11.9705882353,0.5798525799,4.2923832924,0.8347457627,602.7362826774
54П.docx,6.3,1,11.78,14.94,13.22,10.92,20.4,11.49,22.41,10.06,6.34,0,жен.,11.9705882353,0.5798525799,4.2923832924,0.8347457627,602.7362826774
55Л.docx,5.77,1,9.62,8.65,15.38,7.69,25,17.31,13.46,0.96,5.77,1,жен.,14.25,0.6666666667,4.5877192982,0.7763157895,387.811634349
55П.docx,2.89,1,9.83,18.5,10.98,10.4,17.34,8.09,19.08,7.47,2.89,0,жен.,14.25,0.6666666667,4.5877192982,0.7763157895,387.811634349
56Л.docx,2.94,1,11.76,12.75,10.78,5.88,16.18,10.78,20.59,5.39,2.96,1,жен.,10.6086956522,0.6270491803,4.487704918,0.7777777778,446.4095006194
56П.docx,3.13,1,12.54,16.3,13.48,5.96,17.87,11.91,22.57,8.75,3.14,0,жен.,10.6086956522,0.6270491803,4.487704918,0.7777777778,446.4095006194
57Л.docx,7.14,1,5.1,11.22,10.2,12.24,23.47,13.27,33.67,1.02,7.14,1,жен.,9,0.6349206349,3.7936507937,0.8,565.625
57П.docx,5.63,1,5.63,18.31,11.27,9.86,15.49,7.04,33.8,2.82,5.63,0,жен.,9,0.6349206349,3.7936507937,0.8,565.625
58Л.docx,4.11,1,9.59,11.64,13.01,9.59,18.49,10.27,19.18,5.48,4.11,1,жен.,19.3333333333,0.6781609195,4.3333333333,0.813559322,271.4737144499
58П.docx,6.67,1,17.78,8.89,16.67,7.78,18.89,14.44,18.89,6.67,6.67,0,жен.,19.3333333333,0.6781609195,4.3333333333,0.813559322,271.4737144499
59Л.docx,3.7,1,8.33,10.19,15.74,4.63,14.81,12.04,16.67,2.78,3.7,1,жен.,14,0.6984126984,4.7857142857,0.7954545455,281.5082644628
59П.docx,2.67,1,7.33,12,20,5.33,17.33,11.33,16.67,4,2.68,0,жен.,14,0.6984126984,4.7857142857,0.7954545455,281.5082644628
5Л.docx,3.85,1,12.99,12.99,11.69,10.39,18.18,10.39,20.78,10.39,3.85,1,муж.,9.3,0.752688172,3.8924731183,0.8714285714,324.4897959184
5П.docx,4.81,1,9.59,14.76,11.81,10.33,16.61,8.12,21.77,7.38,5.54,0,муж.,9.3,0.752688172,3.8924731183,0.8714285714,324.4897959184
60Л.docx,0,1,3.33,16.67,20,0,6.67,0,23.33,3.33,0,1,муж.,18.5,0.8108108108,4.9459459459,0.9,455.5555555556
60П.docx,0,1,8.11,10.81,18.92,0,2.7,5.41,32.43,5.41,0,0,муж.,18.5,0.8108108108,4.9459459459,0.9,455.5555555556
61Л.docx,6.08,1,18.24,21.62,10.14,12.16,18.92,11.49,14.86,14.86,6.76,1,жен.,14.1666666667,0.6117647059,4.1647058824,0.7788461538,477.0710059172
61П.docx,5.77,1,13.46,17.31,13.46,5.77,23.08,17.31,15.38,5.77,5.77,0,жен.,14.1666666667,0.6117647059,4.1647058824,0.7788461538,477.0710059172
62Л.docx,3.43,1,10.84,16.75,16.75,11.82,18.23,5.91,18.23,9.36,3.54,1,муж.,13.2777777778,0.6276150628,4.2384937238,0.8533333333,386.2222222222
62П.docx,3.47,1,5.94,10.4,18.32,8.42,19.31,5.94,19.31,5.94,4,0,муж.,13.2777777778,0.6276150628,4.2384937238,0.8533333333,386.2222222222
